,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
5784,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256761,3042,Childrens Fiction Poetry Childrens Picture Books Humor Fantasy Animals Young Adult Classics Childrens Juvenile,112.0,4.15,5
5789,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256761,1713,Childrens Fiction Poetry Childrens Picture Books Humor Fantasy Animals Young Adult Classics Childrens Juvenile,112.0,4.15,3
5778,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256761,2042,Childrens Fiction Poetry Childrens Picture Books Humor Fantasy Animals Young Adult Classics Childrens Juvenile,112.0,4.15,4
5783,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256761,1845,Childrens Fiction Poetry Childrens Picture Books Humor Fantasy Animals Young Adult Classics Childrens Juvenile,112.0,4.15,4
5797,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256761,2129,Childrens Fiction Poetry Childrens Picture Books Humor Fantasy Animals Young Adult Classics Childrens Juvenile,112.0,4.15,2
5793,"Lafcadio, the Lion Who Shot Back",Shel Silverstein,0060256761,3032,Childrens Fiction Poetry Childrens Picture Books Humor Fantasy Animals Young Adult Classics Childrens Juvenile,112.0,4.15,2
15204,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,1416,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15224,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,91,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15215,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,529,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15201,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,284,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
15208,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,4196,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15211,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,270,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,4
15210,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,0060277270,2631,Fantasy Classics Fiction Young Adult Childrens Adventure Childrens Middle Grade Christian Fantasy Magic Christian Fiction,174.0,4.22,5
